id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
120978,11,94,,,,,,,,,,,,,
24981,11,204,Primera,Primera,Primera,Divisional A,Primera,ディビショナルA,Primera,Primeira Divisão,Primera,Primera,Primera,Divisional A,Primera
4935,11,62,,"College, Frauen","Ncaa, Women","Universitaria, Femenino","College, Femmes","Ncaa, Women","대학, 여자","Colégio, Feminino","Колледж, Женщины","Ncaa, Women","College, Kadınlar","Ncaa, Women","Ncaa, Women"
64415,11,45,,,,,,,,,,,,,
19527,11,24,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga,Liga A,A Lyga,A Lyga,A Lyga,A Lyga,A Lyga
4200,11,11,,"KOVO Cup, Women","KOVO Cup, Women","Copa KOVO, Fem","KOVO Cup, Femmes",KOVOカップ・女子,"KOVO 컵, 여자","Taça KOVO, Fem.","KOVO Cup, Women","โคโว่ คัพ, หญิง","KOVO Cup, Women","Cúp KOVO, Nữ",韩国职业排球联盟杯，女子
13512,11,15,1. Lig,1. Lig,1. Lig,1. Liga,1. Lig,2.リーグ,1. Lig,1. Liga,1. Lig,1. Lig,1. Lig,2. Lig,1. Lig
25032,11,44,"U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","Campeonato Europeo Sub-19, Clasificación, Femenino","U19 European Championship, Qualification, Women",U19 欧州選手権、予選、女子,"U19 European Championship, Qualification, Women","Campeonato Europeu Sub-19, Qualificação, Feminino","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women","Giải Vô Địch Châu Âu, Vòng Bảng, Nữ","U19 European Championship, Qualification, Women"
123819,11,160,,,,,,,,,,,,,
13331,11,15,"Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Super Kupa, Women","Siêu Cúp, Nữ","Super Kupa, Women"
11537,11,46,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup,Burobin Cup
6334,11,40,,Premier League,Premier League,Premier League,Premier League,Premier League,Premier League,Liga Premier,Премьер Лига,Premier League,Premier League,Premier League,Premier League
14847,11,142,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Nacional 1A,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale,Championnat Nationale
9268,11,171,,Championship,Championship,Championship,Championship,Championship,Championship,Campeonato,Championship,Championship,Championship,Championship,Championship
