id_league,league-en,league-zh,sportId,sport-en,sport-zh,locationId,region-en,region-zh
120978,,,11,Volleyball,排球,94,Cuba,
64415,,,11,Volleyball,排球,45,Australia,澳大利亚
25032,"U19 European Championship, Qualification, Women","U19 European Championship, Qualification, Women",11,Volleyball,排球,44,International,国际
123819,,,11,Volleyball,排球,160,Indonesia,印尼
4921,Vyscha Liga,Vyscha Liga,11,Volleyball,排球,30,Ukraine,乌克兰
130479,,,11,Volleyball,排球,150,"Hong Kong, China",香港，中国
12931,U19 Paulista,U19 Paulista,11,Volleyball,排球,58,Brazil,巴西
4916,"Cup, Women","Cup, Women",11,Volleyball,排球,30,Ukraine,乌克兰
35016,,,11,Volleyball,排球,44,International,国际
4473,1st Bundesliga Women,女子甲级联赛,11,Volleyball,排球,1,Germany,德国
4743,Serie A1 Women,甲级联赛，女子,11,Volleyball,排球,22,Italy,意大利
5530,2Nd Division,2Nd Division,11,Volleyball,排球,43,Greece,希腊
94036,,,11,Volleyball,排球,42,Slovakia,斯洛伐克
4472,1st Bundesliga,甲级联赛,11,Volleyball,排球,1,Germany,德国
45826,,,11,Volleyball,排球,43,Greece,希腊
57024,,,11,Volleyball,排球,3,Poland,波兰
131735,,,11,Volleyball,排球,54,Jordan,约旦
33129,,,11,Volleyball,排球,44,International,国际
107351,,,11,Volleyball,排球,35,Switzerland,瑞士
4881,"Vyscha Liga, Women","Vyscha Liga, Women",11,Volleyball,排球,30,Ukraine,乌克兰
5658,Div 1,罗马尼亚排球甲级联赛,11,Volleyball,排球,26,Romania,罗马尼亚
5173,"Prva Liga, Women",克罗地亚女排甲级联赛,11,Volleyball,排球,6,Croatia,克罗地亚
42762,,,11,Volleyball,排球,89,Mexico,墨西哥
5437,Carioca Championship,Carioca Championship,11,Volleyball,排球,58,Brazil,巴西
11547,U19 World Championship,世界U19锦标赛,11,Volleyball,排球,44,International,国际
58940,,,11,Volleyball,排球,157,Guatemala,危地马拉
80391,,,11,Volleyball,排球,54,Jordan,约旦
4922,U20 European Championship,U20 European Championship,11,Volleyball,排球,44,International,国际
75800,,,11,Volleyball,排球,1,Germany,德国
42293,,,11,Volleyball,排球,20,Sweden,瑞典
105050,,,11,Volleyball,排球,53,Kazakhstan,哈萨克斯坦
106690,,,11,Volleyball,排球,31,Finland,芬兰
83036,,,11,Volleyball,排球,160,Indonesia,印尼
76383,,,11,Volleyball,排球,44,International,国际
5069,"Nationalliga A, Women",瑞士排球全国甲级联赛，女子,11,Volleyball,排球,35,Switzerland,瑞士
92474,,,11,Volleyball,排球,17,Portugal,葡萄牙
92214,,,11,Volleyball,排球,42,Slovakia,斯洛伐克
5188,"A1, Women",甲级联赛，女子,11,Volleyball,排球,43,Greece,希腊
79688,,,11,Volleyball,排球,66,France,法国
39506,,,11,Volleyball,排球,239,Philippines,菲律宾
124815,,,11,Volleyball,排球,47,Ireland,爱尔兰
83035,,,11,Volleyball,排球,160,Indonesia,印尼
33816,,,11,Volleyball,排球,44,International,国际
35649,,,11,Volleyball,排球,44,International,国际
127521,,,11,Volleyball,排球,44,International,国际
106795,,,11,Volleyball,排球,150,"Hong Kong, China",香港，中国
81311,,,11,Volleyball,排球,239,Philippines,菲律宾
56926,,,11,Volleyball,排球,269,Rwanda,卢旺达
123104,,,11,Volleyball,排球,2,Israel,以色列
64690,,,11,Volleyball,排球,9,Vietnam,越南
123820,,,11,Volleyball,排球,160,Indonesia,印尼
111788,,,11,Volleyball,排球,149,Kuwait,科威特
80762,,,11,Volleyball,排球,16,Slovenia,斯洛文尼亚
53304,,,11,Volleyball,排球,185,Argentina,阿根廷
125418,,,11,Volleyball,排球,139,United Arab Emirates,阿联酋
124842,,,11,Volleyball,排球,144,Saudi Arabia,沙特阿拉伯
