id_league,league-en,league-zh,sportId,sport-en,sport-zh,locationId,region-en,region-zh
24981,Primera,Primera,11,Volleyball,排球,204,Uruguay,乌拉圭
4935,"Ncaa, Women","Ncaa, Women",11,Volleyball,排球,62,USA,美国
19527,A Lyga,A Lyga,11,Volleyball,排球,24,Lithuania,立陶宛
4200,"KOVO Cup, Women",韩国职业排球联盟杯，女子,11,Volleyball,排球,11,Republic of Korea,韩国
13512,1. Lig,1. Lig,11,Volleyball,排球,15,Turkey,土耳其
13331,"Super Kupa, Women","Super Kupa, Women",11,Volleyball,排球,15,Turkey,土耳其
11537,Burobin Cup,Burobin Cup,11,Volleyball,排球,46,Russia,俄罗斯
6334,Premier League,Premier League,11,Volleyball,排球,40,Syrian Arab Republic,叙利亚
14847,Championnat Nationale,Championnat Nationale,11,Volleyball,排球,142,Algeria,阿尔及利亚
9268,Championship,Championship,11,Volleyball,排球,171,Cameroon,喀麦隆
4921,Vyscha Liga,Vyscha Liga,11,Volleyball,排球,30,Ukraine,乌克兰
17036,Emperors Cup,Emperors Cup,11,Volleyball,排球,59,Japan,日本
7494,Cup,Cup,11,Volleyball,排球,15,Turkey,土耳其
4990,"Czech Cup, Women","Czech Cup, Women",11,Volleyball,排球,14,Czech Republic,捷克
14485,Superliga,Superliga,11,Volleyball,排球,49,Albania,阿尔巴尼亚
4718,"Superliga, Women",超级联赛，女子,11,Volleyball,排球,12,Serbia,塞尔维亚
22941,Steierischer Cup,Steierischer杯男排赛,11,Volleyball,排球,37,Austria,奥地利
4862,"Cup, Women",匈牙利杯女排赛,11,Volleyball,排球,21,Hungary,匈牙利
4916,"Cup, Women","Cup, Women",11,Volleyball,排球,30,Ukraine,乌克兰
8284,"European Silver League, Women","European Silver League, Women",11,Volleyball,排球,44,International,国际
8427,"International Friendly Games, Women",国际友谊赛,11,Volleyball,排球,44,International,国际
6192,"Division B, Women","Division B, Women",11,Volleyball,排球,8,Belarus,白俄罗斯
4605,"Campeonato Nacional, Women","Campeonato Nacional, Women",11,Volleyball,排球,17,Portugal,葡萄牙
4875,"Campeonato Paulista, Women","Campeonato Paulista, Women",11,Volleyball,排球,58,Brazil,巴西
4577,"First Division, Women","First Division, Women",11,Volleyball,排球,15,Turkey,土耳其
